reference_scene,secondary_scene,reference_date,secondary_date,temporal_baseline_days,orbit_direction,relative_orbit,pair_key,selection_status
S1A_IW_SLC__1SDV_20250423T121308_20250423T121335_058884_074C8A_241A,S1A_IW_SLC__1SDV_20250517T121307_20250517T121334_059234_0759B6_8411,2025-04-23,2025-05-17,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250423T121308_20250423T121335_058884_074C8A_241A__S1A_IW_SLC__1SDV_20250517T121307_20250517T121334_059234_0759B6_8411,CANDIDATE
S1A_IW_SLC__1SDV_20250505T121308_20250505T121335_059059_075384_2CCB,S1A_IW_SLC__1SDV_20250517T121307_20250517T121334_059234_0759B6_8411,2025-05-05,2025-05-17,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250505T121308_20250505T121335_059059_075384_2CCB__S1A_IW_SLC__1SDV_20250517T121307_20250517T121334_059234_0759B6_8411,CANDIDATE
S1A_IW_SLC__1SDV_20250505T121308_20250505T121335_059059_075384_2CCB,S1A_IW_SLC__1SDV_20250529T121307_20250529T121334_059409_075FCD_EC7E,2025-05-05,2025-05-29,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250505T121308_20250505T121335_059059_075384_2CCB__S1A_IW_SLC__1SDV_20250529T121307_20250529T121334_059409_075FCD_EC7E,CANDIDATE
S1A_IW_SLC__1SDV_20250517T121307_20250517T121334_059234_0759B6_8411,S1A_IW_SLC__1SDV_20250529T121307_20250529T121334_059409_075FCD_EC7E,2025-05-17,2025-05-29,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250517T121307_20250517T121334_059234_0759B6_8411__S1A_IW_SLC__1SDV_20250529T121307_20250529T121334_059409_075FCD_EC7E,CANDIDATE
S1A_IW_SLC__1SDV_20250517T121307_20250517T121334_059234_0759B6_8411,S1A_IW_SLC__1SDV_20250610T121306_20250610T121333_059584_0765C2_47C7,2025-05-17,2025-06-10,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250517T121307_20250517T121334_059234_0759B6_8411__S1A_IW_SLC__1SDV_20250610T121306_20250610T121333_059584_0765C2_47C7,CANDIDATE
S1A_IW_SLC__1SDV_20250529T121307_20250529T121334_059409_075FCD_EC7E,S1A_IW_SLC__1SDV_20250610T121306_20250610T121333_059584_0765C2_47C7,2025-05-29,2025-06-10,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250529T121307_20250529T121334_059409_075FCD_EC7E__S1A_IW_SLC__1SDV_20250610T121306_20250610T121333_059584_0765C2_47C7,CANDIDATE
S1A_IW_SLC__1SDV_20250529T121307_20250529T121334_059409_075FCD_EC7E,S1A_IW_SLC__1SDV_20250622T121306_20250622T121333_059759_076BCC_C660,2025-05-29,2025-06-22,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250529T121307_20250529T121334_059409_075FCD_EC7E__S1A_IW_SLC__1SDV_20250622T121306_20250622T121333_059759_076BCC_C660,CANDIDATE
S1A_IW_SLC__1SDV_20250610T121306_20250610T121333_059584_0765C2_47C7,S1A_IW_SLC__1SDV_20250622T121306_20250622T121333_059759_076BCC_C660,2025-06-10,2025-06-22,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250610T121306_20250610T121333_059584_0765C2_47C7__S1A_IW_SLC__1SDV_20250622T121306_20250622T121333_059759_076BCC_C660,CANDIDATE
S1A_IW_SLC__1SDV_20250610T121306_20250610T121333_059584_0765C2_47C7,S1A_IW_SLC__1SDV_20250704T121305_20250704T121332_059934_0771E8_4C74,2025-06-10,2025-07-04,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250610T121306_20250610T121333_059584_0765C2_47C7__S1A_IW_SLC__1SDV_20250704T121305_20250704T121332_059934_0771E8_4C74,CANDIDATE
S1A_IW_SLC__1SDV_20250622T121306_20250622T121333_059759_076BCC_C660,S1A_IW_SLC__1SDV_20250716T121304_20250716T121331_060109_0777EA_58DD,2025-06-22,2025-07-16,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250622T121306_20250622T121333_059759_076BCC_C660__S1A_IW_SLC__1SDV_20250716T121304_20250716T121331_060109_0777EA_58DD,CANDIDATE
S1A_IW_SLC__1SDV_20250704T121305_20250704T121332_059934_0771E8_4C74,S1A_IW_SLC__1SDV_20250716T121304_20250716T121331_060109_0777EA_58DD,2025-07-04,2025-07-16,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250704T121305_20250704T121332_059934_0771E8_4C74__S1A_IW_SLC__1SDV_20250716T121304_20250716T121331_060109_0777EA_58DD,CANDIDATE
S1A_IW_SLC__1SDV_20250704T121305_20250704T121332_059934_0771E8_4C74,S1A_IW_SLC__1SDV_20250728T121304_20250728T121331_060284_077DEF_9EBF,2025-07-04,2025-07-28,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250704T121305_20250704T121332_059934_0771E8_4C74__S1A_IW_SLC__1SDV_20250728T121304_20250728T121331_060284_077DEF_9EBF,CANDIDATE
S1A_IW_SLC__1SDV_20250716T121304_20250716T121331_060109_0777EA_58DD,S1A_IW_SLC__1SDV_20250728T121304_20250728T121331_060284_077DEF_9EBF,2025-07-16,2025-07-28,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250716T121304_20250716T121331_060109_0777EA_58DD__S1A_IW_SLC__1SDV_20250728T121304_20250728T121331_060284_077DEF_9EBF,CANDIDATE
S1A_IW_SLC__1SDV_20250716T121304_20250716T121331_060109_0777EA_58DD,S1A_IW_SLC__1SDV_20250809T121304_20250809T121331_060459_078436_5E98,2025-07-16,2025-08-09,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250716T121304_20250716T121331_060109_0777EA_58DD__S1A_IW_SLC__1SDV_20250809T121304_20250809T121331_060459_078436_5E98,CANDIDATE
S1A_IW_SLC__1SDV_20250728T121304_20250728T121331_060284_077DEF_9EBF,S1A_IW_SLC__1SDV_20250809T121304_20250809T121331_060459_078436_5E98,2025-07-28,2025-08-09,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250728T121304_20250728T121331_060284_077DEF_9EBF__S1A_IW_SLC__1SDV_20250809T121304_20250809T121331_060459_078436_5E98,CANDIDATE
S1A_IW_SLC__1SDV_20250728T121304_20250728T121331_060284_077DEF_9EBF,S1A_IW_SLC__1SDV_20250821T121304_20250821T121331_060634_078B1A_AD6A,2025-07-28,2025-08-21,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250728T121304_20250728T121331_060284_077DEF_9EBF__S1A_IW_SLC__1SDV_20250821T121304_20250821T121331_060634_078B1A_AD6A,CANDIDATE
S1A_IW_SLC__1SDV_20250809T121304_20250809T121331_060459_078436_5E98,S1A_IW_SLC__1SDV_20250821T121304_20250821T121331_060634_078B1A_AD6A,2025-08-09,2025-08-21,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250809T121304_20250809T121331_060459_078436_5E98__S1A_IW_SLC__1SDV_20250821T121304_20250821T121331_060634_078B1A_AD6A,CANDIDATE
S1A_IW_SLC__1SDV_20250809T121304_20250809T121331_060459_078436_5E98,S1A_IW_SLC__1SDV_20250902T121304_20250902T121331_060809_079202_24DF,2025-08-09,2025-09-02,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250809T121304_20250809T121331_060459_078436_5E98__S1A_IW_SLC__1SDV_20250902T121304_20250902T121331_060809_079202_24DF,CANDIDATE
S1A_IW_SLC__1SDV_20250821T121304_20250821T121331_060634_078B1A_AD6A,S1A_IW_SLC__1SDV_20250902T121304_20250902T121331_060809_079202_24DF,2025-08-21,2025-09-02,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250821T121304_20250821T121331_060634_078B1A_AD6A__S1A_IW_SLC__1SDV_20250902T121304_20250902T121331_060809_079202_24DF,CANDIDATE
S1A_IW_SLC__1SDV_20250902T121304_20250902T121331_060809_079202_24DF,S1A_IW_SLC__1SDV_20250914T121305_20250914T121332_060984_079907_B3C5,2025-09-02,2025-09-14,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250902T121304_20250902T121331_060809_079202_24DF__S1A_IW_SLC__1SDV_20250914T121305_20250914T121332_060984_079907_B3C5,CANDIDATE
S1A_IW_SLC__1SDV_20250914T121305_20250914T121332_060984_079907_B3C5,S1A_IW_SLC__1SDV_20250926T121305_20250926T121332_061159_07A00D_EA1B,2025-09-14,2025-09-26,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250914T121305_20250914T121332_060984_079907_B3C5__S1A_IW_SLC__1SDV_20250926T121305_20250926T121332_061159_07A00D_EA1B,CANDIDATE
S1A_IW_SLC__1SDV_20250914T121305_20250914T121332_060984_079907_B3C5,S1A_IW_SLC__1SDV_20251008T121305_20251008T121332_061334_07A71B_1C68,2025-09-14,2025-10-08,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250914T121305_20250914T121332_060984_079907_B3C5__S1A_IW_SLC__1SDV_20251008T121305_20251008T121332_061334_07A71B_1C68,CANDIDATE
S1A_IW_SLC__1SDV_20250926T121305_20250926T121332_061159_07A00D_EA1B,S1A_IW_SLC__1SDV_20251008T121305_20251008T121332_061334_07A71B_1C68,2025-09-26,2025-10-08,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250926T121305_20250926T121332_061159_07A00D_EA1B__S1A_IW_SLC__1SDV_20251008T121305_20251008T121332_061334_07A71B_1C68,CANDIDATE
S1A_IW_SLC__1SDV_20250926T121305_20250926T121332_061159_07A00D_EA1B,S1A_IW_SLC__1SDV_20251020T121305_20251020T121332_061509_07AE20_FB9F,2025-09-26,2025-10-20,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250926T121305_20250926T121332_061159_07A00D_EA1B__S1A_IW_SLC__1SDV_20251020T121305_20251020T121332_061509_07AE20_FB9F,CANDIDATE
S1A_IW_SLC__1SDV_20251008T121305_20251008T121332_061334_07A71B_1C68,S1A_IW_SLC__1SDV_20251020T121305_20251020T121332_061509_07AE20_FB9F,2025-10-08,2025-10-20,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251008T121305_20251008T121332_061334_07A71B_1C68__S1A_IW_SLC__1SDV_20251020T121305_20251020T121332_061509_07AE20_FB9F,CANDIDATE
S1A_IW_SLC__1SDV_20251008T121305_20251008T121332_061334_07A71B_1C68,S1A_IW_SLC__1SDV_20251101T121305_20251101T121332_061684_07B527_F422,2025-10-08,2025-11-01,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251008T121305_20251008T121332_061334_07A71B_1C68__S1A_IW_SLC__1SDV_20251101T121305_20251101T121332_061684_07B527_F422,CANDIDATE
S1A_IW_SLC__1SDV_20251020T121305_20251020T121332_061509_07AE20_FB9F,S1A_IW_SLC__1SDV_20251101T121305_20251101T121332_061684_07B527_F422,2025-10-20,2025-11-01,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251020T121305_20251020T121332_061509_07AE20_FB9F__S1A_IW_SLC__1SDV_20251101T121305_20251101T121332_061684_07B527_F422,CANDIDATE
S1A_IW_SLC__1SDV_20251020T121305_20251020T121332_061509_07AE20_FB9F,S1A_IW_SLC__1SDV_20251113T121304_20251113T121331_061859_07BBE8_83FD,2025-10-20,2025-11-13,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251020T121305_20251020T121332_061509_07AE20_FB9F__S1A_IW_SLC__1SDV_20251113T121304_20251113T121331_061859_07BBE8_83FD,CANDIDATE
S1A_IW_SLC__1SDV_20251101T121305_20251101T121332_061684_07B527_F422,S1A_IW_SLC__1SDV_20251113T121304_20251113T121331_061859_07BBE8_83FD,2025-11-01,2025-11-13,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251101T121305_20251101T121332_061684_07B527_F422__S1A_IW_SLC__1SDV_20251113T121304_20251113T121331_061859_07BBE8_83FD,CANDIDATE
S1A_IW_SLC__1SDV_20251101T121305_20251101T121332_061684_07B527_F422,S1A_IW_SLC__1SDV_20251125T121303_20251125T121330_062034_07C2B8_6379,2025-11-01,2025-11-25,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251101T121305_20251101T121332_061684_07B527_F422__S1A_IW_SLC__1SDV_20251125T121303_20251125T121330_062034_07C2B8_6379,CANDIDATE
S1A_IW_SLC__1SDV_20251113T121304_20251113T121331_061859_07BBE8_83FD,S1A_IW_SLC__1SDV_20251125T121303_20251125T121330_062034_07C2B8_6379,2025-11-13,2025-11-25,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251113T121304_20251113T121331_061859_07BBE8_83FD__S1A_IW_SLC__1SDV_20251125T121303_20251125T121330_062034_07C2B8_6379,CANDIDATE
S1A_IW_SLC__1SDV_20251113T121304_20251113T121331_061859_07BBE8_83FD,S1A_IW_SLC__1SDV_20251207T121302_20251207T121329_062209_07C996_A414,2025-11-13,2025-12-07,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251113T121304_20251113T121331_061859_07BBE8_83FD__S1A_IW_SLC__1SDV_20251207T121302_20251207T121329_062209_07C996_A414,CANDIDATE
S1A_IW_SLC__1SDV_20251125T121303_20251125T121330_062034_07C2B8_6379,S1A_IW_SLC__1SDV_20251207T121302_20251207T121329_062209_07C996_A414,2025-11-25,2025-12-07,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251125T121303_20251125T121330_062034_07C2B8_6379__S1A_IW_SLC__1SDV_20251207T121302_20251207T121329_062209_07C996_A414,CANDIDATE
S1A_IW_SLC__1SDV_20251125T121303_20251125T121330_062034_07C2B8_6379,S1A_IW_SLC__1SDV_20251219T121301_20251219T121328_062384_07D068_51F4,2025-11-25,2025-12-19,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251125T121303_20251125T121330_062034_07C2B8_6379__S1A_IW_SLC__1SDV_20251219T121301_20251219T121328_062384_07D068_51F4,CANDIDATE
S1A_IW_SLC__1SDV_20251207T121302_20251207T121329_062209_07C996_A414,S1A_IW_SLC__1SDV_20251219T121301_20251219T121328_062384_07D068_51F4,2025-12-07,2025-12-19,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251207T121302_20251207T121329_062209_07C996_A414__S1A_IW_SLC__1SDV_20251219T121301_20251219T121328_062384_07D068_51F4,CANDIDATE
S1A_IW_SLC__1SDV_20251207T121302_20251207T121329_062209_07C996_A414,S1A_IW_SLC__1SDV_20251231T121300_20251231T121327_062559_07D726_A3F4,2025-12-07,2025-12-31,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251207T121302_20251207T121329_062209_07C996_A414__S1A_IW_SLC__1SDV_20251231T121300_20251231T121327_062559_07D726_A3F4,CANDIDATE
S1A_IW_SLC__1SDV_20251219T121301_20251219T121328_062384_07D068_51F4,S1A_IW_SLC__1SDV_20251231T121300_20251231T121327_062559_07D726_A3F4,2025-12-19,2025-12-31,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251219T121301_20251219T121328_062384_07D068_51F4__S1A_IW_SLC__1SDV_20251231T121300_20251231T121327_062559_07D726_A3F4,CANDIDATE
S1A_IW_SLC__1SDV_20251219T121301_20251219T121328_062384_07D068_51F4,S1A_IW_SLC__1SDV_20260112T121259_20260112T121326_062734_07DDE0_D868,2025-12-19,2026-01-12,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251219T121301_20251219T121328_062384_07D068_51F4__S1A_IW_SLC__1SDV_20260112T121259_20260112T121326_062734_07DDE0_D868,CANDIDATE
S1A_IW_SLC__1SDV_20251231T121300_20251231T121327_062559_07D726_A3F4,S1A_IW_SLC__1SDV_20260112T121259_20260112T121326_062734_07DDE0_D868,2025-12-31,2026-01-12,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251231T121300_20251231T121327_062559_07D726_A3F4__S1A_IW_SLC__1SDV_20260112T121259_20260112T121326_062734_07DDE0_D868,CANDIDATE
S1A_IW_SLC__1SDV_20251231T121300_20251231T121327_062559_07D726_A3F4,S1A_IW_SLC__1SDV_20260124T121257_20260124T121324_062909_07E438_288B,2025-12-31,2026-01-24,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20251231T121300_20251231T121327_062559_07D726_A3F4__S1A_IW_SLC__1SDV_20260124T121257_20260124T121324_062909_07E438_288B,CANDIDATE
S1A_IW_SLC__1SDV_20260112T121259_20260112T121326_062734_07DDE0_D868,S1A_IW_SLC__1SDV_20260124T121257_20260124T121324_062909_07E438_288B,2026-01-12,2026-01-24,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260112T121259_20260112T121326_062734_07DDE0_D868__S1A_IW_SLC__1SDV_20260124T121257_20260124T121324_062909_07E438_288B,CANDIDATE
S1A_IW_SLC__1SDV_20260112T121259_20260112T121326_062734_07DDE0_D868,S1A_IW_SLC__1SDV_20260205T121257_20260205T121324_063084_07EAD6_5586,2026-01-12,2026-02-05,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260112T121259_20260112T121326_062734_07DDE0_D868__S1A_IW_SLC__1SDV_20260205T121257_20260205T121324_063084_07EAD6_5586,CANDIDATE
S1A_IW_SLC__1SDV_20260124T121257_20260124T121324_062909_07E438_288B,S1A_IW_SLC__1SDV_20260205T121257_20260205T121324_063084_07EAD6_5586,2026-01-24,2026-02-05,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260124T121257_20260124T121324_062909_07E438_288B__S1A_IW_SLC__1SDV_20260205T121257_20260205T121324_063084_07EAD6_5586,CANDIDATE
S1A_IW_SLC__1SDV_20260124T121257_20260124T121324_062909_07E438_288B,S1A_IW_SLC__1SDV_20260217T121256_20260217T121323_063259_07F15D_B73A,2026-01-24,2026-02-17,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260124T121257_20260124T121324_062909_07E438_288B__S1A_IW_SLC__1SDV_20260217T121256_20260217T121323_063259_07F15D_B73A,CANDIDATE
S1A_IW_SLC__1SDV_20260205T121257_20260205T121324_063084_07EAD6_5586,S1A_IW_SLC__1SDV_20260217T121256_20260217T121323_063259_07F15D_B73A,2026-02-05,2026-02-17,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260205T121257_20260205T121324_063084_07EAD6_5586__S1A_IW_SLC__1SDV_20260217T121256_20260217T121323_063259_07F15D_B73A,CANDIDATE
S1A_IW_SLC__1SDV_20260205T121257_20260205T121324_063084_07EAD6_5586,S1A_IW_SLC__1SDV_20260301T121256_20260301T121323_063434_07F810_D243,2026-02-05,2026-03-01,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260205T121257_20260205T121324_063084_07EAD6_5586__S1A_IW_SLC__1SDV_20260301T121256_20260301T121323_063434_07F810_D243,CANDIDATE
S1A_IW_SLC__1SDV_20260217T121256_20260217T121323_063259_07F15D_B73A,S1A_IW_SLC__1SDV_20260301T121256_20260301T121323_063434_07F810_D243,2026-02-17,2026-03-01,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260217T121256_20260217T121323_063259_07F15D_B73A__S1A_IW_SLC__1SDV_20260301T121256_20260301T121323_063434_07F810_D243,CANDIDATE
S1A_IW_SLC__1SDV_20260217T121256_20260217T121323_063259_07F15D_B73A,S1A_IW_SLC__1SDV_20260313T121256_20260313T121323_063609_07FEB1_07E5,2026-02-17,2026-03-13,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260217T121256_20260217T121323_063259_07F15D_B73A__S1A_IW_SLC__1SDV_20260313T121256_20260313T121323_063609_07FEB1_07E5,CANDIDATE
S1A_IW_SLC__1SDV_20260301T121256_20260301T121323_063434_07F810_D243,S1A_IW_SLC__1SDV_20260313T121256_20260313T121323_063609_07FEB1_07E5,2026-03-01,2026-03-13,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260301T121256_20260301T121323_063434_07F810_D243__S1A_IW_SLC__1SDV_20260313T121256_20260313T121323_063609_07FEB1_07E5,CANDIDATE
S1A_IW_SLC__1SDV_20260301T121256_20260301T121323_063434_07F810_D243,S1A_IW_SLC__1SDV_20260325T121256_20260325T121323_063784_080538_17AA,2026-03-01,2026-03-25,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260301T121256_20260301T121323_063434_07F810_D243__S1A_IW_SLC__1SDV_20260325T121256_20260325T121323_063784_080538_17AA,CANDIDATE
S1A_IW_SLC__1SDV_20260313T121256_20260313T121323_063609_07FEB1_07E5,S1A_IW_SLC__1SDV_20260325T121256_20260325T121323_063784_080538_17AA,2026-03-13,2026-03-25,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260313T121256_20260313T121323_063609_07FEB1_07E5__S1A_IW_SLC__1SDV_20260325T121256_20260325T121323_063784_080538_17AA,CANDIDATE
S1A_IW_SLC__1SDV_20260313T121256_20260313T121323_063609_07FEB1_07E5,S1A_IW_SLC__1SDV_20260406T121256_20260406T121323_063959_080BBB_4A2A,2026-03-13,2026-04-06,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260313T121256_20260313T121323_063609_07FEB1_07E5__S1A_IW_SLC__1SDV_20260406T121256_20260406T121323_063959_080BBB_4A2A,CANDIDATE
S1A_IW_SLC__1SDV_20260325T121256_20260325T121323_063784_080538_17AA,S1A_IW_SLC__1SDV_20260406T121256_20260406T121323_063959_080BBB_4A2A,2026-03-25,2026-04-06,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260325T121256_20260325T121323_063784_080538_17AA__S1A_IW_SLC__1SDV_20260406T121256_20260406T121323_063959_080BBB_4A2A,CANDIDATE
S1A_IW_SLC__1SDV_20260325T121256_20260325T121323_063784_080538_17AA,S1A_IW_SLC__1SDV_20260418T121256_20260418T121323_064134_08124B_9AF9,2026-03-25,2026-04-18,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260325T121256_20260325T121323_063784_080538_17AA__S1A_IW_SLC__1SDV_20260418T121256_20260418T121323_064134_08124B_9AF9,CANDIDATE
S1A_IW_SLC__1SDV_20260406T121256_20260406T121323_063959_080BBB_4A2A,S1A_IW_SLC__1SDV_20260418T121256_20260418T121323_064134_08124B_9AF9,2026-04-06,2026-04-18,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260406T121256_20260406T121323_063959_080BBB_4A2A__S1A_IW_SLC__1SDV_20260418T121256_20260418T121323_064134_08124B_9AF9,CANDIDATE
S1A_IW_SLC__1SDV_20260406T121256_20260406T121323_063959_080BBB_4A2A,S1A_IW_SLC__1SDV_20260430T121236_20260430T121304_064309_0818CD_9E64,2026-04-06,2026-04-30,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260406T121256_20260406T121323_063959_080BBB_4A2A__S1A_IW_SLC__1SDV_20260430T121236_20260430T121304_064309_0818CD_9E64,CANDIDATE
S1A_IW_SLC__1SDV_20260418T121256_20260418T121323_064134_08124B_9AF9,S1A_IW_SLC__1SDV_20260430T121236_20260430T121304_064309_0818CD_9E64,2026-04-18,2026-04-30,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260418T121256_20260418T121323_064134_08124B_9AF9__S1A_IW_SLC__1SDV_20260430T121236_20260430T121304_064309_0818CD_9E64,CANDIDATE
S1A_IW_SLC__1SDV_20260418T121256_20260418T121323_064134_08124B_9AF9,S1A_IW_SLC__1SDV_20260512T121236_20260512T121303_064484_081F1E_A292,2026-04-18,2026-05-12,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260418T121256_20260418T121323_064134_08124B_9AF9__S1A_IW_SLC__1SDV_20260512T121236_20260512T121303_064484_081F1E_A292,CANDIDATE
S1A_IW_SLC__1SDV_20260430T121236_20260430T121304_064309_0818CD_9E64,S1A_IW_SLC__1SDV_20260512T121236_20260512T121303_064484_081F1E_A292,2026-04-30,2026-05-12,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260430T121236_20260430T121304_064309_0818CD_9E64__S1A_IW_SLC__1SDV_20260512T121236_20260512T121303_064484_081F1E_A292,CANDIDATE
S1A_IW_SLC__1SDV_20260430T121236_20260430T121304_064309_0818CD_9E64,S1A_IW_SLC__1SDV_20260524T121235_20260524T121303_064659_082534_3DA2,2026-04-30,2026-05-24,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260430T121236_20260430T121304_064309_0818CD_9E64__S1A_IW_SLC__1SDV_20260524T121235_20260524T121303_064659_082534_3DA2,CANDIDATE
S1A_IW_SLC__1SDV_20260512T121236_20260512T121303_064484_081F1E_A292,S1A_IW_SLC__1SDV_20260524T121235_20260524T121303_064659_082534_3DA2,2026-05-12,2026-05-24,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260512T121236_20260512T121303_064484_081F1E_A292__S1A_IW_SLC__1SDV_20260524T121235_20260524T121303_064659_082534_3DA2,CANDIDATE
S1A_IW_SLC__1SDV_20260512T121236_20260512T121303_064484_081F1E_A292,S1A_IW_SLC__1SDV_20260605T121234_20260605T121302_064834_082B60_8502,2026-05-12,2026-06-05,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260512T121236_20260512T121303_064484_081F1E_A292__S1A_IW_SLC__1SDV_20260605T121234_20260605T121302_064834_082B60_8502,CANDIDATE
S1A_IW_SLC__1SDV_20260524T121235_20260524T121303_064659_082534_3DA2,S1A_IW_SLC__1SDV_20260605T121234_20260605T121302_064834_082B60_8502,2026-05-24,2026-06-05,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260524T121235_20260524T121303_064659_082534_3DA2__S1A_IW_SLC__1SDV_20260605T121234_20260605T121302_064834_082B60_8502,CANDIDATE
S1A_IW_SLC__1SDV_20260524T121235_20260524T121303_064659_082534_3DA2,S1A_IW_SLC__1SDV_20260617T121234_20260617T121302_065009_083173_20E3,2026-05-24,2026-06-17,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260524T121235_20260524T121303_064659_082534_3DA2__S1A_IW_SLC__1SDV_20260617T121234_20260617T121302_065009_083173_20E3,CANDIDATE
S1A_IW_SLC__1SDV_20260605T121234_20260605T121302_064834_082B60_8502,S1A_IW_SLC__1SDV_20260617T121234_20260617T121302_065009_083173_20E3,2026-06-05,2026-06-17,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260605T121234_20260605T121302_064834_082B60_8502__S1A_IW_SLC__1SDV_20260617T121234_20260617T121302_065009_083173_20E3,CANDIDATE
S1A_IW_SLC__1SDV_20260605T121234_20260605T121302_064834_082B60_8502,S1A_IW_SLC__1SDV_20260629T121233_20260629T121301_065184_08379D_D76F,2026-06-05,2026-06-29,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260605T121234_20260605T121302_064834_082B60_8502__S1A_IW_SLC__1SDV_20260629T121233_20260629T121301_065184_08379D_D76F,CANDIDATE
S1A_IW_SLC__1SDV_20260617T121234_20260617T121302_065009_083173_20E3,S1A_IW_SLC__1SDV_20260629T121233_20260629T121301_065184_08379D_D76F,2026-06-17,2026-06-29,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260617T121234_20260617T121302_065009_083173_20E3__S1A_IW_SLC__1SDV_20260629T121233_20260629T121301_065184_08379D_D76F,CANDIDATE
S1A_IW_SLC__1SDV_20260617T121234_20260617T121302_065009_083173_20E3,S1D_IW_SLC__1SDV_20260706T121154_20260706T121221_003553_0064F5_743C,2026-06-17,2026-07-06,19.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260617T121234_20260617T121302_065009_083173_20E3__S1D_IW_SLC__1SDV_20260706T121154_20260706T121221_003553_0064F5_743C,CANDIDATE
S1A_IW_SLC__1SDV_20260629T121233_20260629T121301_065184_08379D_D76F,S1D_IW_SLC__1SDV_20260706T121154_20260706T121221_003553_0064F5_743C,2026-06-29,2026-07-06,7.0,ASCENDING,12,S1A_IW_SLC__1SDV_20260629T121233_20260629T121301_065184_08379D_D76F__S1D_IW_SLC__1SDV_20260706T121154_20260706T121221_003553_0064F5_743C,CANDIDATE
